*,P227_05001239600,*,*,BGPI,ANABASE,0099058000
*,P227_05001239620,*,*,BGPI,ENGILED,0099058000
*,P227_05001239640,*,*,BGPI,THALASSA N76,0099058000
*,P227_05001239660,*,*,BGPI,FINAGEST,0099058000
*,P227_05001239680,*,*,BGPI,LE GRAIN DE SENEVE,0099058000
*,P227_05001239700,*,*,BGPI,CELISADEL,0099058000
*,P227_05001239720,*,*,BGPI,PIGMENTS,0099058000
*,P227_05001239740,*,*,BGPI,FONDS EDUCATION ET DEVELOPPEMENT,0099058000
*,P227_05001239760,*,*,BGPI,SCOTS,0099058000
*,P227_05001239780,*,*,BGPI,AB CFAO,0099058000
*,P227_05001239800,*,*,BGPI,SPD,0099058000
*,P227_05001239820,*,*,BGPI,INDOSUEZ EVOLUTION MONDE,0099058000
*,P227_05001239890,*,*,BGPI,FIPL,0099058000
*,P227_05001239910,*,*,BGPI,NOYANGE,0099058000
*,P227_05001239930,*,*,BGPI,SAINT LATUIN,0099058000
*,P227_05001239950,*,*,BGPI,BANASSAT INVEST,0099058000
*,P227_05001239970,*,*,BGPI,LA FORCE MULTI ACTIFS,0099058000
*,P227_05001239990,*,*,BGPI,DOUCE FAMILLE,0099058000
*,P227_05001240010,*,*,BGPI,JP2H,0099058000
*,P227_05001240030,*,*,BGPI,MISUKASE,0099058000
*,P227_05001240070,*,*,BGPI,ADVITAM,0099058000
*,P227_05001240140,*,*,BGPI,ADVIT OBL OP,0099058000
*,P227_05001240160,*,*,BGPI,ADVIT MONET,0099058000
*,P227_05001240190,*,*,BGPI,ADVIT BH USD,0099058000
*,P227_05001240210,*,*,BGPI,ADVIT BH EUR,0099058000
*,P227_05001240230,*,*,BGPI,ADVIT ACT US,0099058000
*,P227_05001240250,*,*,BGPI,ADVIT ACT EU,0099058000
*,P227_05001240290,*,*,BGPI,ADVIT ACT EM,0099058000
*,P227_05001240320,*,*,BGPI,ADVIT ACT BR,0099058000
*,P227_05001240390,*,*,BGPI,VALOA,0099058000
*,P227_05001240410,*,*,BGPI,MG INVEST,0099058000
*,*,*,*,BGPI,DEFAULT,0099058000
