Caceis_AlgoId;Broker_AlgoId;BrokerId;Caceis_AlgoParameters;Broker_AlgoParameters
DARK;NV;Broker_MS;EXPIRETIME;ENDTIME
DARK;NV;Broker_MS;EXECUTIONSTYLE;URGENCY
DARK;NV;Broker_MS;WOULDPRICE;WOULDLITLIMIT
LIQUIDITYSEEKER;NIGHTOWL;Broker_MS;EFFECTIVETIME;STARTTIME
LIQUIDITYSEEKER;NIGHTOWL;Broker_MS;EXPIRETIME;ENDTIME
LIQUIDITYSEEKER;NIGHTOWL;Broker_MS;EXECUTIONSTYLE;URGENCY
LIQUIDITYSEEKER;NIGHTOWL;Broker_MS;PARTICIPATIONRATE;MAXPCTVOLUME
VWAP;EQU - VWAP;Broker_MS;EFFECTIVETIME;STARTTIME
VWAP;EQU - VWAP;Broker_MS;EXPIRETIME;ENDTIME
VWAP;EQU - VWAP;Broker_MS;PARTICIPATIONRATE;MAXPCTVOLUME
VWAP;EQU - VWAP;Broker_MS;WOULDPRICE;WOULDLITLIMIT
VWAP;EQU - VWAP;Broker_MS;EXCLUDEOPENINGAUCTION;INOPEN
VWAP;EQU - VWAP;Broker_MS;EXCLUDECLOSINGAUCTION;INCLOSE
TWAP;EQU - TWAP;Broker_MS;EFFECTIVETIME;STARTTIME
TWAP;EQU - TWAP;Broker_MS;EXPIRETIME;ENDTIME
TWAP;EQU - TWAP;Broker_MS;PARTICIPATIONRATE;MAXPCTVOLUME
TWAP;EQU - TWAP;Broker_MS;WOULDPRICE;WOULDLITLIMIT
TWAP;EQU - TWAP;Broker_MS;EXCLUDEOPENINGAUCTION;INOPEN
TWAP;EQU - TWAP;Broker_MS;EXCLUDECLOSINGAUCTION;INCLOSE
PCTVOLUME;EQU - TARGETPOV;Broker_MS;EFFECTIVETIME;STARTTIME
PCTVOLUME;EQU - TARGETPOV;Broker_MS;EXPIRETIME;ENDTIME
PCTVOLUME;EQU - TARGETPOV;Broker_MS;PARTICIPATIONRATE;TARGETPCTVOLUME
PCTVOLUME;EQU - TARGETPOV;Broker_MS;WOULDPRICE;WOULDLITLIMIT
PCTVOLUME;EQU - TARGETPOV;Broker_MS;EXECUTIONSTYLE;URGENCY
PCTVOLUME;EQU - TARGETPOV;Broker_MS;EXCLUDEOPENINGAUCTION;INOPEN
PCTVOLUME;EQU - TARGETPOV;Broker_MS;EXCLUDECLOSINGAUCTION;INCLOSE
SHORTFALL;EQU - ARRIVALPRICE;Broker_MS;EFFECTIVETIME;STARTTIME
SHORTFALL;EQU - ARRIVALPRICE;Broker_MS;EXCLUDEOPENINGAUCTION;INOPEN
SHORTFALL;EQU - ARRIVALPRICE;Broker_MS;EXCLUDECLOSINGAUCTION;INCLOSE
SHORTFALL;EQU - ARRIVALPRICE;Broker_MS;PARTICIPATIONRATE;MAXPCTVOLUME
SHORTFALL;EQU - ARRIVALPRICE;Broker_MS;WOULDPRICE;WOULDLITLIMIT
SHORTFALL;EQU - ARRIVALPRICE;Broker_MS;EXECUTIONSTYLE;URGENCY
SHORTFALL;EQU - ARRIVALPRICE;Broker_MS;EXPIRETIME;ENDTIME
VWAP;ETD - VWAP;Broker_MS;EFFECTIVETIME;STARTTIME
VWAP;ETD - VWAP;Broker_MS;EXPIRETIME;ENDTIME
VWAP;ETD - VWAP;Broker_MS;PARTICIPATIONRATE;MAXPCTVOLUME
VWAP;ETD - VWAP;Broker_MS;EXECUTIONSTYLE;URGENCY
TWAP;ETD - TWAP;Broker_MS;EFFECTIVETIME;STARTTIME
TWAP;ETD - TWAP;Broker_MS;EXPIRETIME;ENDTIME
TWAP;ETD - TWAP;Broker_MS;PARTICIPATIONRATE;MAXPCTVOLUME
TWAP;ETD - TWAP;Broker_MS;EXECUTIONSTYLE;URGENCY
PCTVOLUME;ETD - TARGETPOV;Broker_MS;EFFECTIVETIME;STARTTIME
PCTVOLUME;ETD - TARGETPOV;Broker_MS;EXPIRETIME;ENDTIME
PCTVOLUME;ETD - TARGETPOV;Broker_MS;PARTICIPATIONRATE;TARGETPCTVOLUME
SHORTFALL;ETD - ARRIVALPRICE;Broker_MS;EFFECTIVETIME;STARTTIME
SHORTFALL;ETD - ARRIVALPRICE;Broker_MS;EXPIRETIME;ENDTIME
SHORTFALL;ETD - ARRIVALPRICE;Broker_MS;PARTICIPATIONRATE;MAXPCTVOLUME
SHORTFALL;ETD - ARRIVALPRICE;Broker_MS;EXECUTIONSTYLE;URGENCY
